sha256_hashed_ip,event_timestamp_utc,category,subcategory,event_json,digital_remedy_channel,digital_remedy_customer_ntf_status,Digital Remedy Customer Ltv
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 06:05:47 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603539""}",Pablo,yes,36.72
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 06:07:56 UTC,checkout,,"{""amount"":""258"",""account_id"":""7603540""}",Facebook,no,451.6
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 06:11:14 UTC,checkout,,"{""amount"":""1171"",""account_id"":""7603541""}",Pablo,no,1228.26
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 06:12:27 UTC,checkout,,"{""amount"":""206"",""account_id"":""7603542""}",Other MKT Hardcoded Link,no,742.25
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 06:14:19 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603543""}",Google,yes,36.72
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 06:20:48 UTC,checkout,,"{""amount"":""19"",""account_id"":""7603544""}",Google,yes,19.3
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 06:26:17 UTC,checkout,,"{""amount"":""19"",""account_id"":""7603545""}",Google,no,40.01
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 06:26:54 UTC,checkout,,"{""amount"":""186"",""account_id"":""7603546""}",Other MKT Hardcoded Link,no,770.14
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 06:31:29 UTC,checkout,,"{""amount"":""206"",""account_id"":""7603547""}",Pablo,no,556.88
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 06:33:54 UTC,checkout,,"{""amount"":""316"",""account_id"":""7603548""}",Pablo,yes,315.96
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 06:38:33 UTC,checkout,,"{""amount"":""281"",""account_id"":""7603549""}",Facebook,yes,281.11
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 06:38:55 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603550""}",Pablo,yes,36.72
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 06:39:49 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603551""}",Google,yes,36.72
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 06:40:49 UTC,checkout,,"{""amount"":""316"",""account_id"":""7603552""}",Pablo,no,315.04
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 06:41:16 UTC,checkout,,"{""amount"":""29"",""account_id"":""7603553""}",Facebook,yes,29.38
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 06:43:20 UTC,checkout,,"{""amount"":""186"",""account_id"":""7603554""}",Other MKT Hardcoded Link,no,3537.38
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 06:45:48 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603555""}",Facebook,yes,36.72
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 06:58:19 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603556""}",Pablo,yes,36.72
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 06:58:39 UTC,checkout,,"{""amount"":""47"",""account_id"":""7603557""}",Facebook,no,1252.55
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 07:01:59 UTC,checkout,,"{""amount"":""1077"",""account_id"":""7603559""}",Other MKT Hardcoded Link,yes,1077.25
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 07:03:27 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603560""}",Facebook,no,342.9
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 07:11:34 UTC,checkout,,"{""amount"":""1472"",""account_id"":""7603561""}",Other MKT Hardcoded Link,no,3537.38
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 07:29:15 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603562""}",Pablo,no,338.15
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 07:32:29 UTC,checkout,,"{""amount"":""316"",""account_id"":""7603563""}",Bing,no,417.29
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 07:40:16 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603564""}",Google,no,414.69
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 07:51:55 UTC,checkout,,"{""amount"":""1171"",""account_id"":""7603567""}",Facebook,yes,1170.71
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 08:11:05 UTC,checkout,,"{""amount"":""316"",""account_id"":""7603571""}",Pablo,no,625.64
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 08:16:08 UTC,checkout,,"{""amount"":""241"",""account_id"":""7603572""}",Pablo,no,625.64
011e8006a9e38c38444ff1b4f0b35780dc74ba1762e6da41637e5a72c48f7f24,2022-11-13 08:17:21 UTC,checkout,,"{""amount"":""148"",""account_id"":""500272"")",Google,yes,257
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 08:22:17 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603573""}",Pablo,yes,36.72
526f479910bbf71bd981218ad8ac0f810dd62c3c4f13edde1ad5b8cfc90a8836,2022-11-13 08:22:38 UTC,checkout,,"{""amount"":""37"",""account_id"":""7603574""}",Pablo,yes,36.72
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 08:46:41 UTC,checkout,,"{""amount"":""186"",""account_id"":""7603579""}",Other MKT Hardcoded Link,no,632.17
7b718f0cf2bead901896b5f9690a7df6308f06d3c7751e581930d56eb7088ae8,2022-11-13 08:52:26 UTC,checkout,,"{""amount"":""281"",""account_id"":""7603584""}",Facebook,yes,281.11
892dd53a182e6d0cbed6ab13e06d9eceea6f541b3d33cf420dba4cc2aa5fcac4,2022-11-13 08:58:17 UTC,checkout,,"{""amount"":""23"",""account_id"":""500273"")",Other,no,243.71
